No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3test4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
20874 1 -Switched Freq from f_2200 to: f_1200
20906 1 -Switched Freq from f_1200 to: f_2200
20941 1 -Switched Freq from f_2200 to: f_1200
21109 4 -Switched Freq from f_1200 to: f_2200
21147 1 -Switched Freq from f_2200 to: f_1200
21313 4 -Switched Freq from f_1200 to: f_2200
21353 1 -Switched Freq from f_2200 to: f_1200
21425 2 -Switched Freq from f_1200 to: f_2200
21627 5 -Switched Freq from f_2200 to: f_1200
21672 1 -Switched Freq from f_1200 to: f_2200
21760 2 -Switched Freq from f_2200 to: f_1200
21869 3 -Switched Freq from f_1200 to: f_2200
21906 1 -Switched Freq from f_2200 to: f_1200
21952 1 -Switched Freq from f_1200 to: f_2200
21993 1 -Switched Freq from f_2200 to: f_1200
22065 2 -Switched Freq from f_1200 to: f_2200
22146 2 -Switched Freq from f_2200 to: f_1200
22192 1 -Switched Freq from f_1200 to: f_2200
22233 1 -Switched Freq from f_2200 to: f_1200
22265 1 -Switched Freq from f_1200 to: f_2200
22319 1 -Switched Freq from f_2200 to: f_1200
22388 2 -Switched Freq from f_1200 to: f_2200
22426 1 -Switched Freq from f_2200 to: f_1200
22472 1 -Switched Freq from f_1200 to: f_2200
22586 3 -Switched Freq from f_2200 to: f_1200
22632 1 -Switched Freq from f_1200 to: f_2200
22719 2 -Switched Freq from f_2200 to: f_1200
22748 1 -Switched Freq from f_1200 to: f_2200
22786 1 -Switched Freq from f_2200 to: f_1200
22912 3 -Switched Freq from f_1200 to: f_2200
22952 1 -Switched Freq from f_2200 to: f_1200
23064 3 -Switched Freq from f_1200 to: f_2200
23118 1 -Switched Freq from f_2200 to: f_1200
23148 1 -Switched Freq from f_1200 to: f_2200
23185 1 -Switched Freq from f_2200 to: f_1200
23311 3 -Switched Freq from f_1200 to: f_2200
23425 3 -Switched Freq from f_2200 to: f_1200
